date,t2m,d2m,tp,u10,v10,swvl1,wind_speed,relative_humidity,risk_score
1950-05-01,33.84016,22.45318,5.5906803e-05,-0.82726693,-0.77664274,0.36810526,1.1347002,62.685986,0.0
1950-05-02,33.12274,25.072695,0.00043767816,0.0016595951,-0.55971956,0.3758898,0.559722,71.98609,0.0
1950-05-03,32.03088,26.061674,0.0010954104,-0.12827991,-0.8974364,0.37717304,0.9065582,78.365906,0.0
1950-05-04,29.592224,23.200432,0.0010079626,-0.1089524,-1.641305,0.37376705,1.6449172,76.77778,0.0
1950-05-05,30.169775,23.766386,0.00074060075,0.24818797,-0.13449508,0.36940753,0.28228742,76.794685,0.0
1950-05-06,30.52105,21.821814,0.0005610997,0.6947376,0.7976729,0.37268758,1.0578008,69.76464,0.08461538461538462
1950-05-07,32.395935,21.48229,0.00015609043,-0.89268976,-0.15006804,0.37430897,0.9052157,63.75541,0.0
1950-05-08,37.22539,28.2301,0.0005077455,-0.990225,0.5208455,0.38324687,1.1188501,69.68116,0.09999999999999999
1950-05-09,39.653778,30.066957,0.00019142222,-1.2920176,-0.32816243,0.3918111,1.3330417,68.29865,0.0
1950-05-10,38.29412,29.216825,0.001284249,-0.40086973,1.3181973,0.39477015,1.3778027,69.570465,0.03076923076923077
1950-05-11,39.729572,28.344557,0.0005879286,-1.205735,0.5487699,0.3916966,1.3247435,63.475445,0.03076923076923077
1950-05-12,37.86713,28.4104,0.0012339951,0.15583788,1.6930599,0.39167985,1.7002169,68.450195,0.0
1950-05-13,39.796097,27.757212,0.0003690855,-0.87989587,0.085596986,0.38772914,0.88404953,61.804077,0.04615384615384615
1950-05-14,41.0976,29.2209,0.0005644976,-1.0769906,0.5680628,0.38529405,1.2176223,62.39152,0.038461538461538464
1950-05-15,40.213512,27.508009,0.00031347838,0.18814242,0.6213119,0.38076696,0.6491733,60.190098,0.07692307692307693
1950-05-16,42.1907,28.253878,7.632758e-05,-0.15472223,-0.6265629,0.37777603,0.6453836,57.49638,0.16923076923076924
1950-05-17,43.0361,28.544136,0.00013208615,-1.3602968,-0.58416843,0.3744632,1.4804257,56.325405,0.13076923076923078
1950-05-18,41.74121,25.732489,0.00016632838,-1.1582199,-0.450874,0.36920524,1.242884,52.72472,0.0
1950-05-19,40.789158,27.597511,0.00048761748,-0.54348046,-0.49953297,0.3652227,0.7381762,59.078804,0.03076923076923077
1950-05-20,38.75335,28.305105,0.0016647408,-0.20963347,-0.2949812,0.36500597,0.36188412,65.831375,0.0
1950-05-21,38.519165,29.046661,0.001594862,0.15001237,-0.09803017,0.36692825,0.17920275,68.48309,0.0
1950-05-22,39.27724,28.803352,0.0009961872,0.9141073,0.14230154,0.36597893,0.92511725,65.82794,0.0
1950-05-23,40.173485,27.560678,0.0006631703,0.45710143,0.77388096,0.36020494,0.89879555,60.41441,0.04615384615384615
1950-05-24,42.928192,28.736153,0.0005142849,-1.5826783,0.16240624,0.3531842,1.5909891,57.004997,0.2692307692307692
1950-05-25,43.494564,32.334972,0.0011816948,-0.4896183,0.97077495,0.3548931,1.0872581,64.5484,0.0
1950-05-26,41.83092,31.379898,0.0011749485,0.33776212,0.3803195,0.3635875,0.5086513,66.20697,0.0
1950-05-27,45.29897,32.680107,0.00052182213,0.0030646361,-0.6123438,0.35533953,0.6123515,61.101875,0.06153846153846154
1950-05-28,45.603184,33.899616,0.0011986769,0.5394008,-0.35417566,0.35240057,0.6452857,63.4245,0.08461538461538462
1950-05-29,44.460545,32.364174,0.00074507674,1.641964,-0.43635073,0.34744713,1.6989548,62.284885,0.13076923076923078
1950-05-30,44.641354,31.895134,0.00034105554,1.6093549,0.32646522,0.34034526,1.6421336,60.700344,0.13846153846153844
1950-05-31,47.082397,35.402546,0.00073056045,2.0167115,1.0285805,0.33626878,2.263869,63.67564,0.13846153846153844
1950-06-01,42.064453,31.344872,0.0009636767,1.5268412,0.70416236,0.3360815,1.6813948,65.52132,0.0
1950-06-02,42.005608,29.093315,0.0005617039,0.6326892,-0.49191797,0.33212966,0.8014231,59.930542,0.08461538461538462
1950-06-03,45.82202,31.321226,0.0008497373,1.032332,-0.070861734,0.32574496,1.0347611,56.711147,0.13076923076923078
1950-06-04,48.526226,35.591473,0.00033774055,2.3131168,0.25716132,0.32061774,2.3273678,60.770798,0.43076923076923074
1950-06-05,49.712543,36.271782,0.0001493812,2.565474,-0.11857144,0.31493166,2.5682125,59.7261,0.3076923076923077
1950-06-06,50.835506,36.28544,3.2823154e-05,1.6345087,0.22073305,0.30580387,1.6493459,57.31841,0.22307692307692306
1950-06-07,51.666336,40.013615,0.0011329756,1.0438024,0.8194292,0.3079966,1.3270222,64.32706,0.23076923076923078
1950-06-08,46.46815,37.512238,0.0015937019,0.8178875,0.9569816,0.3361038,1.25887,70.82761,0.0
1950-06-09,48.926453,38.8622,0.0009629167,-0.015168697,1.132484,0.32889885,1.1325855,68.090065,0.0
1950-06-10,45.772175,37.08979,0.0013710167,1.2007041,1.2570741,0.33043045,1.7383686,71.51791,0.04615384615384615
1950-06-11,46.91159,34.25194,0.0006855772,-0.1182025,0.8180149,0.32273465,0.82651085,61.219906,0.0
1950-06-12,47.283432,36.677105,0.0011534126,0.846205,1.326502,0.3196911,1.5734262,66.4634,0.04615384615384615
1950-06-13,45.306072,33.382046,0.0008691317,1.0983912,1.109105,0.31701788,1.5609539,62.829212,0.0
1950-06-14,47.72289,34.742092,0.00033276275,0.033507872,0.2676412,0.31027785,0.26973057,60.550907,0.07692307692307693
1950-06-15,52.546253,41.311386,0.0012993132,-1.0162908,0.476306,0.30928916,1.12237,65.48698,0.0
1950-06-16,56.0237,47.71996,0.0022886144,-0.18230921,1.3301257,0.3240874,1.3425614,73.62923,0.08461538461538462
1950-06-17,56.25377,45.375874,0.0010673036,0.40061784,0.44494307,0.32294777,0.5987228,66.8371,0.03076923076923077
1950-06-18,62.124786,50.21097,0.00030427906,-0.7177882,-0.24006788,0.30973187,0.7568702,64.97825,0.15384615384615385
1950-06-19,64.040016,53.216335,0.0012258681,0.34391034,-0.26952025,0.30590826,0.43693876,67.874054,0.03076923076923077
1950-06-20,63.198902,54.386,0.001581228,-0.098429866,-0.59626454,0.3084056,0.6043342,72.95792,0.1846153846153846
1950-06-21,55.90138,49.573105,0.006097426,0.12522699,0.8231984,0.35461763,0.83266884,79.26198,0.0
1950-06-22,52.839584,42.401215,0.00089042186,1.1400621,0.78798175,0.34702468,1.3858777,67.5637,0.0
1950-06-23,53.407146,41.749332,0.00020383294,1.2155675,-0.03275984,0.32852224,1.2160089,64.53248,0.11538461538461539
1950-06-24,53.38434,41.806583,0.000466087,0.19939892,-0.16679406,0.31884456,0.2599619,64.72909,0.0
1950-06-25,54.015274,43.15121,0.0008834198,0.30495313,0.4534277,0.31664142,0.5464367,66.60669,0.08461538461538462
1950-06-26,53.12795,41.350292,0.0015606802,0.9399972,1.9017816,0.32195818,2.121407,64.19987,0.0923076923076923
1950-06-27,52.83951,40.622147,0.0013010651,1.0519387,1.1361012,0.31957072,1.548322,63.08075,0.0
1950-06-28,54.73766,42.530895,0.00020277232,0.360304,0.43391904,0.30960944,0.5640077,63.34953,0.15384615384615385
1950-06-29,58.35883,44.875095,9.3073155e-05,0.1317752,-0.27770388,0.29736093,0.30738273,60.791676,0.06923076923076923
1950-06-30,59.466885,46.75966,0.0011559185,0.7989578,-0.024935538,0.2947094,0.79934686,62.75158,0.0
1950-07-01,58.16171,46.445408,0.00090702897,1.7930193,0.68441105,0.2939764,1.9192021,64.97567,0.13846153846153844
1950-07-02,59.02042,46.852184,0.00032352548,1.3254006,-0.17543596,0.28734186,1.3369609,63.982616,0.0
1950-07-03,60.746628,47.68276,0.00029441775,0.5110813,-0.86595553,0.2784594,1.0055263,62.078106,0.07692307692307693
1950-07-04,61.275818,48.605083,0.0006563878,0.21705449,0.01899826,0.2737114,0.21788433,63.06738,0.10769230769230768
1950-07-05,62.773205,50.27959,0.000559154,-0.3804538,-0.64166814,0.26721853,0.74597794,63.673313,0.03076923076923077
1950-07-06,61.107388,47.669125,0.0018809335,-0.8935814,-0.8728079,0.27319023,1.2491122,61.25798,0.21538461538461537
1950-07-07,59.121655,45.56032,0.0015734403,0.22436355,-0.4936627,0.27718014,0.54225624,60.71373,0.038461538461538464
1950-07-08,59.541553,47.892395,0.0019352644,0.3817383,-0.35185015,0.2811006,0.51915574,65.30835,0.12307692307692308
1950-07-09,62.677578,45.911465,0.00020915433,-0.8466098,0.068838656,0.26942036,0.84940386,54.23951,0.1846153846153846
1950-07-10,65.38569,45.38866,2.6972142e-05,-0.6079269,0.48248926,0.2517611,0.7761256,48.36979,0.14615384615384613
1950-07-11,63.85762,46.305893,0.00021379262,0.6294488,0.6453694,0.24031807,0.90150285,52.821175,0.23076923076923078
1950-07-12,58.409378,47.569164,0.0035682274,0.73890185,0.31940904,0.2741184,0.80498326,67.18532,0.0
1950-07-13,57.561295,47.321796,0.001774664,-0.29105392,-0.16043316,0.28665593,0.33234197,68.62113,0.06153846153846154
1950-07-14,58.206913,48.509308,0.0016916855,-0.42386866,-0.3387556,0.28906736,0.5426048,70.10243,0.04615384615384615
1950-07-15,57.950787,48.568417,0.0027301498,-0.22132665,0.07380888,0.3028789,0.23330931,70.90627,0.0
1950-07-16,56.657955,46.98091,0.0023459315,-0.20673132,0.4020727,0.3151861,0.4521065,69.98781,0.26153846153846155
1950-07-17,56.079178,45.771008,0.001868785,-0.35863435,-0.36475167,0.3185127,0.51152945,68.27548,0.06153846153846154
1950-07-18,58.080948,43.160183,0.0009813847,-1.3223835,-0.7095828,0.30630088,1.500735,57.51076,0.0
